code,name,year,industry,soe,size,lev,age,roa,rd_intensity,latent_shortterm,source
000001,北动力制造,2019,医药制造,0,21.969,0.356,24,0.097,1.324,1.6966,演示语料（程序化合成，接口见01脚本real模式）
000001,北动力制造,2020,医药制造,0,21.933,0.549,25,-0.019,2.431,1.3131,演示语料（程序化合成，接口见01脚本real模式）
000001,北动力制造,2021,医药制造,0,21.996,0.405,26,-0.041,4.767,0.3144,演示语料（程序化合成，接口见01脚本real模式）
000001,北动力制造,2022,医药制造,0,21.943,0.485,27,0.11,3.54,-0.2811,演示语料（程序化合成，接口见01脚本real模式）
000001,北动力制造,2023,医药制造,0,21.896,0.414,28,0.083,4.447,0.0049,演示语料（程序化合成，接口见01脚本real模式）
300002,北智控实业,2019,专用设备制造,1,20.695,0.475,8,0.076,2.485,-0.0254,演示语料（程序化合成，接口见01脚本real模式）
300002,北智控实业,2020,专用设备制造,1,20.711,0.369,9,0.105,4.028,-0.2906,演示语料（程序化合成，接口见01脚本real模式）
300002,北智控实业,2021,专用设备制造,1,21.063,0.389,10,0.086,4.399,-0.0286,演示语料（程序化合成，接口见01脚本real模式）
300002,北智控实业,2022,专用设备制造,1,21.002,0.186,11,-0.003,4.204,0.0436,演示语料（程序化合成，接口见01脚本real模式）
300002,北智控实业,2023,专用设备制造,1,21.046,0.256,12,0.012,4.785,-0.3718,演示语料（程序化合成，接口见01脚本real模式）
600003,东装备制造,2019,汽车零部件制造,0,21.05,0.373,15,0.079,1.265,0.9433,演示语料（程序化合成，接口见01脚本real模式）
600003,东装备制造,2020,汽车零部件制造,0,20.609,0.284,16,0.035,3.457,0.0952,演示语料（程序化合成，接口见01脚本real模式）
600003,东装备制造,2021,汽车零部件制造,0,20.935,0.431,17,-0.012,3.769,-0.5179,演示语料（程序化合成，接口见01脚本real模式）
600003,东装备制造,2022,汽车零部件制造,0,20.64,0.585,18,0.096,2.975,-0.0864,演示语料（程序化合成，接口见01脚本real模式）
600003,东装备制造,2023,汽车零部件制造,0,21.121,0.324,19,0.069,3.562,-0.0096,演示语料（程序化合成，接口见01脚本real模式）
000004,利装备实业,2019,电子元器件制造,0,21.67,0.05,12,-0.021,3.806,-0.4188,演示语料（程序化合成，接口见01脚本real模式）
000004,利装备实业,2020,电子元器件制造,0,21.918,0.128,13,0.058,6.338,-0.4977,演示语料（程序化合成，接口见01脚本real模式）
000004,利装备实业,2021,电子元器件制造,0,22.143,0.556,14,-0.021,5.535,0.0987,演示语料（程序化合成，接口见01脚本real模式）
000004,利装备实业,2022,电子元器件制造,0,22.236,0.23,15,0.035,3.334,0.3368,演示语料（程序化合成，接口见01脚本real模式）
000004,利装备实业,2023,电子元器件制造,0,21.985,0.238,16,0.005,4.396,0.3221,演示语料（程序化合成，接口见01脚本real模式）
300005,瑞电子股份,2019,汽车零部件制造,0,21.979,0.5,22,0.098,3.17,0.4006,演示语料（程序化合成，接口见01脚本real模式）
300005,瑞电子股份,2020,汽车零部件制造,0,21.765,0.39,23,0.063,2.863,0.6173,演示语料（程序化合成，接口见01脚本real模式）
300005,瑞电子股份,2021,汽车零部件制造,0,21.863,0.449,24,-0.045,4.168,0.0969,演示语料（程序化合成，接口见01脚本real模式）
300005,瑞电子股份,2022,汽车零部件制造,0,21.854,0.333,25,0.045,2.955,0.6387,演示语料（程序化合成，接口见01脚本real模式）
300005,瑞电子股份,2023,汽车零部件制造,0,22.068,0.468,26,0.007,4.356,0.2295,演示语料（程序化合成，接口见01脚本real模式）
600006,瑞新材科技,2019,专用设备制造,0,21.471,0.239,24,0.055,3.749,0.6667,演示语料（程序化合成，接口见01脚本real模式）
600006,瑞新材科技,2020,专用设备制造,0,21.64,0.411,25,0.058,2.241,0.7041,演示语料（程序化合成，接口见01脚本real模式）
600006,瑞新材科技,2021,专用设备制造,0,21.926,0.471,26,0.05,2.853,0.0477,演示语料（程序化合成，接口见01脚本real模式）
600006,瑞新材科技,2022,专用设备制造,0,22.014,0.443,27,0.054,4.512,-0.5234,演示语料（程序化合成，接口见01脚本real模式）
600006,瑞新材科技,2023,专用设备制造,0,21.797,0.463,28,0.002,1.586,0.4806,演示语料（程序化合成，接口见01脚本real模式）
000007,天医化科技,2019,化学原料制造,0,23.791,0.129,9,0.043,5.592,0.0311,演示语料（程序化合成，接口见01脚本real模式）
000007,天医化科技,2020,化学原料制造,0,23.579,0.308,10,0.062,5.672,0.2374,演示语料（程序化合成，接口见01脚本real模式）
000007,天医化科技,2021,化学原料制造,0,23.69,0.397,11,-0.067,4.466,0.2468,演示语料（程序化合成，接口见01脚本real模式）
000007,天医化科技,2022,化学原料制造,0,23.91,0.164,12,-0.02,4.266,0.1132,演示语料（程序化合成，接口见01脚本real模式）
000007,天医化科技,2023,化学原料制造,0,23.699,0.568,13,0.041,2.872,0.4649,演示语料（程序化合成，接口见01脚本real模式）
300008,泰医化科技,2019,医药制造,0,22.207,0.113,22,0.109,4.831,-0.1247,演示语料（程序化合成，接口见01脚本real模式）
300008,泰医化科技,2020,医药制造,0,22.633,0.358,23,0.096,5.87,-0.0615,演示语料（程序化合成，接口见01脚本real模式）
300008,泰医化科技,2021,医药制造,0,22.367,0.392,24,-0.01,5.619,-0.248,演示语料（程序化合成，接口见01脚本real模式）
300008,泰医化科技,2022,医药制造,0,22.601,0.497,25,0.091,2.202,0.4442,演示语料（程序化合成，接口见01脚本real模式）
300008,泰医化科技,2023,医药制造,0,22.521,0.212,26,-0.019,3.763,0.366,演示语料（程序化合成，接口见01脚本real模式）
600009,晟装备制造,2019,专用设备制造,0,21.638,0.379,10,0.047,4.463,-0.567,演示语料（程序化合成，接口见01脚本real模式）
600009,晟装备制造,2020,专用设备制造,0,22.063,0.306,11,0.164,4.31,-0.4833,演示语料（程序化合成，接口见01脚本real模式）
600009,晟装备制造,2021,专用设备制造,0,22.243,0.417,12,0.058,4.559,-0.7418,演示语料（程序化合成，接口见01脚本real模式）
600009,晟装备制造,2022,专用设备制造,0,22.389,0.571,13,0.016,5.278,-0.8119,演示语料（程序化合成，接口见01脚本real模式）
600009,晟装备制造,2023,专用设备制造,0,22.238,0.592,14,0.027,4.324,-0.3041,演示语料（程序化合成，接口见01脚本real模式）
000010,利医化股份,2019,化学原料制造,0,23.438,0.2,21,0.082,5.884,0.1796,演示语料（程序化合成，接口见01脚本real模式）
000010,利医化股份,2020,化学原料制造,0,23.521,0.176,22,0.019,5.029,0.4679,演示语料（程序化合成，接口见01脚本real模式）
000010,利医化股份,2021,化学原料制造,0,23.384,0.394,23,0.018,4.501,0.318,演示语料（程序化合成，接口见01脚本real模式）
000010,利医化股份,2022,化学原料制造,0,23.523,0.413,24,-0.007,5.49,-0.149,演示语料（程序化合成，接口见01脚本real模式）
000010,利医化股份,2023,化学原料制造,0,23.56,0.58,25,0.031,4.095,0.1747,演示语料（程序化合成，接口见01脚本real模式）
300011,康新材实业,2019,化学原料制造,1,20.829,0.338,25,0.059,5.617,-0.903,演示语料（程序化合成，接口见01脚本real模式）
300011,康新材实业,2020,化学原料制造,1,21.23,0.409,26,-0.003,4.111,-0.5478,演示语料（程序化合成，接口见01脚本real模式）
300011,康新材实业,2021,化学原料制造,1,21.185,0.579,27,0.059,4.704,-0.4968,演示语料（程序化合成，接口见01脚本real模式）
300011,康新材实业,2022,化学原料制造,1,21.178,0.661,28,0.12,5.462,0.021,演示语料（程序化合成，接口见01脚本real模式）
300011,康新材实业,2023,化学原料制造,1,21.238,0.619,29,0.065,3.684,-0.0604,演示语料（程序化合成，接口见01脚本real模式）
600012,北电子实业,2019,专用设备制造,0,23.406,0.451,21,0.01,6.27,-1.2349,演示语料（程序化合成，接口见01脚本real模式）
600012,北电子实业,2020,专用设备制造,0,23.218,0.531,22,0.052,5.992,-0.9725,演示语料（程序化合成，接口见01脚本real模式）
600012,北电子实业,2021,专用设备制造,0,23.395,0.422,23,0.029,4.903,-0.4996,演示语料（程序化合成，接口见01脚本real模式）
600012,北电子实业,2022,专用设备制造,0,23.107,0.298,24,0.076,4.664,-0.3161,演示语料（程序化合成，接口见01脚本real模式）
600012,北电子实业,2023,专用设备制造,0,23.328,0.431,25,0.046,4.675,-0.0773,演示语料（程序化合成，接口见01脚本real模式）
000013,宏装备制造,2019,专用设备制造,1,22.809,0.435,14,-0.073,2.915,1.5015,演示语料（程序化合成，接口见01脚本real模式）
000013,宏装备制造,2020,专用设备制造,1,23.015,0.176,15,0.023,1.812,1.5972,演示语料（程序化合成，接口见01脚本real模式）
000013,宏装备制造,2021,专用设备制造,1,23.025,0.489,16,-0.002,2.46,1.0227,演示语料（程序化合成，接口见01脚本real模式）
000013,宏装备制造,2022,专用设备制造,1,23.542,0.349,17,-0.027,3.122,0.8999,演示语料（程序化合成，接口见01脚本real模式）
000013,宏装备制造,2023,专用设备制造,1,23.048,0.496,18,0.034,2.396,0.7066,演示语料（程序化合成，接口见01脚本real模式）
300014,北智控科技,2019,汽车零部件制造,0,21.195,0.503,10,0.023,4.195,-0.8951,演示语料（程序化合成，接口见01脚本real模式）
300014,北智控科技,2020,汽车零部件制造,0,21.304,0.365,11,0.083,4.132,0.106,演示语料（程序化合成，接口见01脚本real模式）
300014,北智控科技,2021,汽车零部件制造,0,21.482,0.449,12,0.063,3.866,-0.3394,演示语料（程序化合成，接口见01脚本real模式）
300014,北智控科技,2022,汽车零部件制造,0,21.61,0.479,13,0.006,2.75,-0.2351,演示语料（程序化合成，接口见01脚本real模式）
300014,北智控科技,2023,汽车零部件制造,0,21.614,0.618,14,-0.013,3.529,-0.1615,演示语料（程序化合成，接口见01脚本real模式）
600015,天光电实业,2019,电子元器件制造,0,21.742,0.171,15,-0.075,4.897,-0.3092,演示语料（程序化合成，接口见01脚本real模式）
600015,天光电实业,2020,电子元器件制造,0,21.73,0.389,16,-0.005,3.817,-0.0251,演示语料（程序化合成，接口见01脚本real模式）
600015,天光电实业,2021,电子元器件制造,0,21.812,0.537,17,-0.06,3.087,0.1986,演示语料（程序化合成，接口见01脚本real模式）
600015,天光电实业,2022,电子元器件制造,0,21.774,0.404,18,0.081,5.227,-0.3251,演示语料（程序化合成，接口见01脚本real模式）
600015,天光电实业,2023,电子元器件制造,0,21.704,0.387,19,0.097,4.484,-0.2153,演示语料（程序化合成，接口见01脚本real模式）
000016,瑞精工实业,2019,汽车零部件制造,0,22.783,0.329,21,0.077,4.075,0.0092,演示语料（程序化合成，接口见01脚本real模式）
000016,瑞精工实业,2020,汽车零部件制造,0,22.789,0.488,22,0.127,4.71,-0.3616,演示语料（程序化合成，接口见01脚本real模式）
000016,瑞精工实业,2021,汽车零部件制造,0,22.914,0.448,23,-0.009,5.029,-0.6338,演示语料（程序化合成，接口见01脚本real模式）
000016,瑞精工实业,2022,汽车零部件制造,0,22.699,0.506,24,0.065,6.068,-0.8436,演示语料（程序化合成，接口见01脚本real模式）
000016,瑞精工实业,2023,汽车零部件制造,0,23.066,0.246,25,0.001,4.066,-0.7296,演示语料（程序化合成，接口见01脚本real模式）
300017,恒光电股份,2019,化学原料制造,0,20.905,0.418,9,0.098,3.236,0.3819,演示语料（程序化合成，接口见01脚本real模式）
300017,恒光电股份,2020,化学原料制造,0,20.73,0.406,10,0.053,4.751,0.0343,演示语料（程序化合成，接口见01脚本real模式）
300017,恒光电股份,2021,化学原料制造,0,20.686,0.425,11,0.116,1.718,0.3799,演示语料（程序化合成，接口见01脚本real模式）
300017,恒光电股份,2022,化学原料制造,0,20.669,0.488,12,0.113,2.665,0.3365,演示语料（程序化合成，接口见01脚本real模式）
300017,恒光电股份,2023,化学原料制造,0,20.656,0.512,13,-0.048,3.401,0.5694,演示语料（程序化合成，接口见01脚本real模式）
600018,宏智造实业,2019,化学原料制造,0,22.579,0.514,23,0.082,6.429,0.1718,演示语料（程序化合成，接口见01脚本real模式）
600018,宏智造实业,2020,化学原料制造,0,22.597,0.464,24,0.007,4.334,-0.3514,演示语料（程序化合成，接口见01脚本real模式）
