code,year,n_words,dict_hits,ShortTerm,ShortTermSent,name,industry,soe,size,lev,age,roa,rd_intensity,latent_shortterm
000001,2019,177,7,3.9548,25.0,北动力制造,医药制造,0,21.969,0.356,24,0.097,1.324,1.6966
000001,2020,185,8,4.3243,29.4118,北动力制造,医药制造,0,21.933,0.549,25,-0.019,2.431,1.3131
000001,2021,216,7,3.2407,25.0,北动力制造,医药制造,0,21.996,0.405,26,-0.041,4.767,0.3144
000001,2022,131,4,3.0534,15.3846,北动力制造,医药制造,0,21.943,0.485,27,0.11,3.54,-0.2811
000001,2023,196,5,2.551,22.2222,北动力制造,医药制造,0,21.896,0.414,28,0.083,4.447,0.0049
000004,2019,181,5,2.7624,18.75,利装备实业,电子元器件制造,0,21.67,0.05,12,-0.021,3.806,-0.4188
000004,2020,194,5,2.5773,16.6667,利装备实业,电子元器件制造,0,21.918,0.128,13,0.058,6.338,-0.4977
000004,2021,176,5,2.8409,25.0,利装备实业,电子元器件制造,0,22.143,0.556,14,-0.021,5.535,0.0987
000004,2022,196,9,4.5918,27.7778,利装备实业,电子元器件制造,0,22.236,0.23,15,0.035,3.334,0.3368
000004,2023,158,7,4.4304,20.0,利装备实业,电子元器件制造,0,21.985,0.238,16,0.005,4.396,0.3221
000007,2019,139,5,3.5971,23.0769,天医化科技,化学原料制造,0,23.791,0.129,9,0.043,5.592,0.0311
000007,2020,151,3,1.9868,14.2857,天医化科技,化学原料制造,0,23.579,0.308,10,0.062,5.672,0.2374
000007,2021,194,7,3.6082,22.2222,天医化科技,化学原料制造,0,23.69,0.397,11,-0.067,4.466,0.2468
000007,2022,171,4,2.3392,18.75,天医化科技,化学原料制造,0,23.91,0.164,12,-0.02,4.266,0.1132
000007,2023,208,6,2.8846,21.0526,天医化科技,化学原料制造,0,23.699,0.568,13,0.041,2.872,0.4649
000010,2019,188,9,4.7872,22.2222,利医化股份,化学原料制造,0,23.438,0.2,21,0.082,5.884,0.1796
000010,2020,192,7,3.6458,22.2222,利医化股份,化学原料制造,0,23.521,0.176,22,0.019,5.029,0.4679
000010,2021,224,10,4.4643,30.0,利医化股份,化学原料制造,0,23.384,0.394,23,0.018,4.501,0.318
000010,2022,165,7,4.2424,25.0,利医化股份,化学原料制造,0,23.523,0.413,24,-0.007,5.49,-0.149
000010,2023,156,9,5.7692,33.3333,利医化股份,化学原料制造,0,23.56,0.58,25,0.031,4.095,0.1747
000013,2019,188,9,4.7872,29.4118,宏装备制造,专用设备制造,1,22.809,0.435,14,-0.073,2.915,1.5015
000013,2020,155,3,1.9355,21.4286,宏装备制造,专用设备制造,1,23.015,0.176,15,0.023,1.812,1.5972
000013,2021,171,7,4.0936,31.25,宏装备制造,专用设备制造,1,23.025,0.489,16,-0.002,2.46,1.0227
000013,2022,158,6,3.7975,26.6667,宏装备制造,专用设备制造,1,23.542,0.349,17,-0.027,3.122,0.8999
000013,2023,213,8,3.7559,21.0526,宏装备制造,专用设备制造,1,23.048,0.496,18,0.034,2.396,0.7066
