code,year,sentence,n_words_sent,tokens_sent
000001,2019,股份有限公司年年度报告管理层讨论与分析模拟文本为完成全年目标公司将赶快调整产品定价策略抢占市场份额,20,有限公司 年 年度报告 讨论 与 分析 模拟 文本 为 完成 全年 目标 将 赶快 调整 产品 定价 策略 抢占市场 份额
000001,2019,报告期内公司围绕年度经营计划扎实推进各项重点工作总体经营情况保持稳定,14,报告 期内 围绕 经营 计划 扎实 推进 各项 重点 工作 总体 经营 情况 保持稳定
000001,2019,公司加强成本管控提升运营效率毛利率水平保持基本平稳,11,加强 成本 管控 提升 运营 效率 毛利率 水平 保持 基本 平稳
000001,2019,公司进一步完善治理结构规范运作信息披露真实准确完整,10,进一步 完善 治理 结构 规范 运作 信息 真实 准确 完整
000001,2019,公司可能面临原材料价格波动市场需求不及预期等风险,10,可能 面临 原材料 价格 波动 市场需求 不及 预期 等 风险
000001,2019,面对复杂的外部经营环境公司管理层积极应对努力克服不利因素影响,12,面对 复杂 的 外部 经营 环境 积极 应对 努力 克服 不利因素 影响
000001,2019,公司坚持创新驱动发展战略持续加大研发投入研发费用同比增长较快,14,坚持 创新 驱动 发展 战略 持续 加大 研发 投入 研发 费用 增长 较 快
000001,2019,宏观经济波动与行业竞争加剧可能对公司业绩产生不利影响,12,宏观 经济波动 与 行业 竞争 加剧 可能 对 公司业绩 产生 不利 影响
000001,2019,管理层认为当前窗口稍纵即逝必须时不我待扩大产能投放,9,认为 当前 窗口 稍纵即逝 必须 时不我待 扩大 产能 投放
000001,2019,公司进一步完善治理结构规范运作信息披露真实准确完整,10,进一步 完善 治理 结构 规范 运作 信息 真实 准确 完整
000001,2019,公司短期回报回笼资金以应对眼前的流动性压力,9,短期 回报 回笼资金 以 应对 眼前 的 流动性 压力
000001,2019,公司将采取权宜之计压缩各项开支以确保眼前兑现业绩承诺,12,将 采取 权宜之计 压缩 各项 开支 以 确保 眼前 兑现 业绩 承诺
000001,2019,公司高度重视安全生产与质量管理体系运行情况良好,9,高度重视 安全 生产 与 质量 管理体系 运行 情况 良好
000001,2019,公司与高校科研院所共建联合实验室推进产学研协同创新,10,与 高校 科研院所 共建 联合 实验室 推进 产学研 协同 创新
000001,2019,汇率波动及贸易环境变化对公司海外业务构成一定不确定性,12,汇率 波动 及 贸易 环境 变化 对 海外 业务 构成 一定 不确定性
000001,2019,二零二四年四月,3,二零二 四年 四月
000001,2020,股份有限公司年年度报告管理层讨论与分析模拟文本公司积极拓展国内外市场客户结构与订单质量进一步改善,19,有限公司 年 年度报告 讨论 与 分析 模拟 文本 积极 拓展 国内外 市场 客户 结构 与 订单 质量 进一步 改善
000001,2020,报告期内公司围绕年度经营计划扎实推进各项重点工作总体经营情况保持稳定,14,报告 期内 围绕 经营 计划 扎实 推进 各项 重点 工作 总体 经营 情况 保持稳定
000001,2020,面对复杂的外部经营环境公司管理层积极应对努力克服不利因素影响,12,面对 复杂 的 外部 经营 环境 积极 应对 努力 克服 不利因素 影响
